id;treatment;genotype;sex;slice;order;CbRegion(vermis_hemispheres);mean;area
19;eda;sca;f;7;C;hemispheres;53.000;506173.048
19;eda;sca;f;7;D;hemispheres;52.374;464518.469
19;eda;sca;f;7;E;hemispheres;54.162;454440.884
19;eda;sca;f;7;F;hemispheres;49.068;432169.000
19;eda;sca;f;8;A;vermis;50.541;170791.027
19;eda;sca;f;8;C;hemispheres;46.476;754948.558
19;eda;sca;f;8;D;hemispheres;47.801;656866.251
19;eda;sca;f;8;E;hemispheres;47.474;370505.988
19;eda;sca;f;8;F;hemispheres;48.931;508325.181
19;eda;sca;f;9;A;vermis;46.313;231720.358
19;eda;sca;f;9;B;vermis;41.695;132870.636
19;eda;sca;f;9;C;hemispheres;48.659;505312.869
19;eda;sca;f;9;D;hemispheres;49.33;357419.464
19;eda;sca;f;9;E;hemispheres;50.678;594938.438
19;eda;sca;f;9;F;hemispheres;49.622;547061.899
19;eda;sca;f;10;A;vermis;46.521;170831.506
19;eda;sca;f;10;B;vermis;43.685;183705.515
19;eda;sca;f;10;C;hemispheres;52.55;156103.896
19;eda;sca;f;10;D;hemispheres;49.27;477530.781
19;eda;sca;f;10;E;hemispheres;45.46;446356.890
19;eda;sca;f;10;F;hemispheres;44.249;188643.953
19;eda;sca;f;11;A;vermis;52.763;182980.266
19;eda;sca;f;11;B;vermis;51.823;221598.921
19;eda;sca;f;11;C;hemispheres;51.875;215429.246
19;eda;sca;f;11;D;hemispheres;55.266;524808.568
19;eda;sca;f;11;E;hemispheres;53.013;174017.541
19;eda;sca;f;12;A;vermis;51.192;172084.669
19;eda;sca;f;12;B;vermis;50.266;161433.631
19;eda;sca;f;12;C;hemispheres;49.292;490829.820
19;eda;sca;f;12;D;hemispheres;48.583;139666.048
20;ctrl;sca;f;1;C;hemispheres;41.865;371910.946
20;ctrl;sca;f;1;D;hemispheres;38.453;135204.925
20;ctrl;sca;f;1;E;hemispheres;54.999;511936.246
20;ctrl;sca;f;2;C;hemispheres;49.132;421610.727
20;ctrl;sca;f;2;D;hemispheres;50.311;171217.743
20;ctrl;sca;f;2;E;hemispheres;37.24;296459.774
20;ctrl;sca;f;2;F;hemispheres;43.235;73408.669
20;ctrl;sca;f;3;A;vermis;37.734;401162.085
20;ctrl;sca;f;3;B;vermis;34.029;204031.034
20;ctrl;sca;f;3;C;hemispheres;41.045;387760.162
20;ctrl;sca;f;3;D;hemispheres;43.98;277820.880
20;ctrl;sca;f;3;E;hemispheres;45.538;339180.300
20;ctrl;sca;f;3;F;hemispheres;37.687;120870.299
20;ctrl;sca;f;4;A;vermis;41.69;312416.934
20;ctrl;sca;f;4;B;vermis;30.972;303315.905
20;ctrl;sca;f;4;C;hemispheres;36.171;434800.135
20;ctrl;sca;f;4;D;hemispheres;31.786;100462.135
20;ctrl;sca;f;4;E;hemispheres;44.356;245611.402
20;ctrl;sca;f;4;F;hemispheres;45.764;158719.852
20;ctrl;sca;f;5;A;vermis;42.73;251615.787
20;ctrl;sca;f;5;B;vermis;39.513;180219.261
20;ctrl;sca;f;5;C;hemispheres;45.468;455769.944
20;ctrl;sca;f;5;D;hemispheres;48.096;329851.577
20;ctrl;sca;f;5;E;hemispheres;37.653;263835.385
