hist_id,slice,side,part ID,structure,area,psa_ncam
6372,8,p,2,DG-ML,47420,19.396
6372,9,l,2,CA1 SLM,9703,18.803
6372,9,l,2,CA4 pyr,28192,15.387
6372,9,l,2,DG PL hilus,74182,15.761
6372,9,l,2,DG-ML,59497,17.685
6372,9,p,2,CA1 SLM,22029,15.557
6372,9,p,2,CA4 pyr,28376,16.803
6372,9,p,2,DG PL hilus,72582,17.635
6372,9,p,2,DG-ML,31107,16.153
6372,10,l,1,CA1 SLM,13108,14.51
6372,10,l,,CA4 pyr,X,X
6372,10,l,2,DG PL hilus,70307,15.413
6372,10,l,1,DG-ML,30990,16.277
6372,10,p,1,CA1 SLM,19206,14.7
6372,10,p,,CA4 pyr,X,X
6372,10,p,1,DG PL hilus,94731,18.011
6372,10,p,1,DG-ML,20799,15.576
6372,14 - control,l,,CA1 SLM,14507,15.264
6372,14 - control,l,,CA4 pyr,6367,15.822
6372,14 - control,l,,DG PL hilus,12786,15.341
6372,14 - control,l,,DG-ML,16008,16.212
6372,14 - control,p,,CA1 SLM,10135,18.062
6372,14 - control,p,,CA4 pyr,10598,16.965
6372,14 - control,p,,DG PL hilus,4281,19.277
6372,14 - control,p,,DG-ML,13004,16.687
6376,1,l,,CA1 SLM,X,X
6376,1,l,,CA4 pyr,X,X
6376,1,l,,DG PL hilus,X,X
6376,1,l,,DG-ML,X,X
6376,1,p,,CA1 SLM,X,X
6376,1,p,,CA4 pyr,X,X
6376,1,p,,DG PL hilus,X,X
6376,1,p,,DG-ML,X,X
6376,2,l,,CA1 SLM,9069,11.574
6376,2,l,,CA4 pyr,22715,10.897
6376,2,l,,DG PL hilus,17453,12.032
6376,2,l,,DG-ML,28691,12.605
6376,2,p,,CA1 SLM,23006,12.266
6376,2,p,,CA4 pyr,19653,12.531
6376,2,p,,DG PL hilus,9548,11.181
6376,2,p,,DG-ML,27290,11.945
6376,3,l,,CA1 SLM,8.494,10.63
6376,3,l,,CA4 pyr,2051,8.487
6376,3,l,,DG PL hilus,43689,10.709
6376,3,l,,DG-ML,42387,11.015
6376,3,p,,CA1 SLM,14753,10.323
6376,3,p,,CA4 pyr,10766,11.013
6376,3,p,,DG PL hilus,17732,9.422
6376,3,p,,DG-ML,14551,10.375
6376,4,l,,CA1 SLM,14122,9.658
6376,4,l,,CA4 pyr,14488,7.845
6376,4,l,,DG PL hilus,29558,9.841
6376,4,l,,DG-ML,26488,10.169
6376,4,p,,CA1 SLM,22256,10.575
6376,4,p,,CA4 pyr,1139,8.977
6376,4,p,,DG PL hilus,40474,8.887
6376,4,p,,DG-ML,27330,9.284
6376,5,l,,CA1 SLM,17647,11.803
6376,5,l,,CA4 pyr,12461,8.666
6376,5,l,,DG PL hilus,37256,11.144
6376,5,l,,DG-ML,19895,10.119
6376,5,p,,CA1 SLM,18082,7.648
6376,5,p,,CA4 pyr,10568,8.709
6376,5,p,,DG PL hilus,32328,8.362
6376,5,p,,DG-ML,27914,8.025
6376,6,l,,CA1 SLM,24480,9.614
6376,6,l,,CA4 pyr,15100,7.783
6376,6,l,,DG PL hilus,16748,10.222
6376,6,l,,DG-ML,17602,8.214
6376,6,p,,CA1 SLM,25345,9.523
6376,6,p,,CA4 pyr,10798,8.1
6376,6,p,,DG PL hilus,27784,9.622
6376,6,p,,DG-ML,22344,7.713
6376,7,l,,CA1 SLM,20278,10.82
6376,7,l,,CA4 pyr,11859,8.884
6376,7,l,,DG PL hilus,19199,10.045
6376,7,l,,DG-ML,34620,8.551
6376,7,p,,CA1 SLM,26804,8.378
6376,7,p,,CA4 pyr,23660,9.041
6376,7,p,,DG PL hilus,24917,11.421
6376,7,p,,DG-ML,25993,8.769
6376,8,l,,CA1 SLM,7155,7.523
6376,8,l,,CA4 pyr,35112,8.841
6376,8,l,,DG PL hilus,28490,11.515
6376,8,l,,DG-ML,11022,8.546
6376,8,p,,CA1 SLM,20772,9.528
6376,8,p,,CA4 pyr,12427,7.741
6376,8,p,,DG PL hilus,27045,10.432
6376,8,p,,DG-ML,16725,10.472
6376,9,l,,CA1 SLM,17684,7.184
6376,9,l,,CA4 pyr,20049,8.354
6376,9,l,,DG PL hilus,15083,10.609
6376,9,l,,DG-ML,34058,8.579
6376,9,p,,CA1 SLM,17161,7.012
6376,9,p,,CA4 pyr,15070,7.523
6376,9,p,,DG PL hilus,45143,11.916
6376,9,p,,DG-ML,24856,8.014
6376,10,l,,CA1 SLM,15966,5.536
6376,10,l,,CA4 pyr,14500,8.069
6376,10,l,,DG PL hilus,48499,10.177
6376,10,l,,DG-ML,47780,6.497
6376,10,p,,CA1 SLM,21604,7.267
6376,10,p,,CA4 pyr,X,X
6376,10,p,,DG PL hilus,24579,13.486
6376,10,p,,DG-ML,21246,10.189
6376,11,l,,CA1 SLM,X,X
6376,11,l,,CA4 pyr,X,X
6376,11,l,,DG PL hilus,X,X
6376,11,l,,DG-ML,X,X
6376,11,p,,CA1 SLM,X,X
6376,11,p,,CA4 pyr,X,X
6376,11,p,,DG PL hilus,75900,11.516
6376,11,p,,DG-ML,13858,8.512
6376,12 - control,l,,CA1 SLM,13759,8.905
6376,12 - control,l,,CA4 pyr,6993,8.248
6376,12 - control,l,,DG PL hilus,28052,8.951
6376,12 - control,l,,DG-ML,18475,8
6376,12 - control,p,,CA1 SLM,25898,8.573
6376,12 - control,p,,CA4 pyr,11417,7.963
6376,12 - control,p,,DG PL hilus,21346,8.184
6376,12 - control,p,,DG-ML,19305,7.952
6377,1,l,,CA1 SLM,X,X
6377,1,l,,CA4 pyr,X,X
6377,1,l,,DG PL hilus,X,X
6377,1,l,,DG-ML,7931,21.698
6377,1,p,,CA1 SLM,X,X
6377,1,p,,CA4 pyr,X,X
