id,treatment,genotype,sex,day,session,rot_latency,pre_post
134,ctrl,wt,f,3,2,189.3,pre
134,ctrl,wt,f,3,3,131.9,pre
134,ctrl,wt,f,3,4,184.1,pre
137,ctrl,sca,m,1,1,44.7,pre
137,ctrl,sca,m,1,2,33.5,pre
137,ctrl,sca,m,1,3,94.6,pre
137,ctrl,sca,m,1,4,113.6,pre
137,ctrl,sca,m,2,1,93.1,pre
137,ctrl,sca,m,2,2,94.1,pre
137,ctrl,sca,m,2,3,89.6,pre
137,ctrl,sca,m,2,4,94.4,pre
137,ctrl,sca,m,3,1,92.8,pre
137,ctrl,sca,m,3,2,132.9,pre
137,ctrl,sca,m,3,3,104.1,pre
137,ctrl,sca,m,3,4,73.5,pre
138,eda,sca,m,1,1,53.2,pre
138,eda,sca,m,1,2,112.9,pre
138,eda,sca,m,1,3,200.7,pre
138,eda,sca,m,1,4,183.9,pre
138,eda,sca,m,2,1,138.3,pre
138,eda,sca,m,2,2,77.9,pre
138,eda,sca,m,2,3,257.1,pre
138,eda,sca,m,2,4,49.2,pre
138,eda,sca,m,3,1,167.1,pre
138,eda,sca,m,3,2,202.6,pre
138,eda,sca,m,3,3,171.8,pre
138,eda,sca,m,3,4,208,pre
139,ctrl,sca,m,1,1,131.7,pre
139,ctrl,sca,m,1,2,127.2,pre
139,ctrl,sca,m,1,3,149.4,pre
139,ctrl,sca,m,1,4,160.3,pre
139,ctrl,sca,m,2,1,172.5,pre
139,ctrl,sca,m,2,2,172.7,pre
139,ctrl,sca,m,2,3,194.5,pre
139,ctrl,sca,m,2,4,149.6,pre
139,ctrl,sca,m,3,1,70.1,pre
139,ctrl,sca,m,3,2,70,pre
139,ctrl,sca,m,3,3,163.4,pre
139,ctrl,sca,m,3,4,179.3,pre
141,ctrl,wt,f,1,1,56.3,pre
141,ctrl,wt,f,1,2,126.1,pre
141,ctrl,wt,f,1,3,80.8,pre
141,ctrl,wt,f,1,4,83.2,pre
141,ctrl,wt,f,2,1,87.1,pre
141,ctrl,wt,f,2,2,94.8,pre
141,ctrl,wt,f,2,3,97.7,pre
141,ctrl,wt,f,2,4,110.5,pre
141,ctrl,wt,f,3,1,75.4,pre
141,ctrl,wt,f,3,2,119.6,pre
141,ctrl,wt,f,3,3,118.8,pre
141,ctrl,wt,f,3,4,112.7,pre
144,eda,wt,f,1,1,125.6,pre
144,eda,wt,f,1,2,61.2,pre
144,eda,wt,f,1,3,130.6,pre
144,eda,wt,f,1,4,73.5,pre
144,eda,wt,f,2,1,143.7,pre
144,eda,wt,f,2,2,178,pre
144,eda,wt,f,2,3,160.1,pre
144,eda,wt,f,2,4,80.1,pre
144,eda,wt,f,3,1,124.6,pre
144,eda,wt,f,3,2,186.5,pre
144,eda,wt,f,3,3,209.7,pre
144,eda,wt,f,3,4,196.2,pre
145,eda,sca,m,1,1,106.1,pre
145,eda,sca,m,1,2,173.2,pre
145,eda,sca,m,1,3,83.9,pre
145,eda,sca,m,1,4,159.1,pre
145,eda,sca,m,2,1,83.3,pre
145,eda,sca,m,2,2,104.5,pre
145,eda,sca,m,2,3,156.4,pre
145,eda,sca,m,2,4,139.6,pre
145,eda,sca,m,3,1,150.5,pre
145,eda,sca,m,3,2,198.2,pre
145,eda,sca,m,3,3,175,pre
145,eda,sca,m,3,4,83.2,pre
146,ctrl,sca,m,1,1,105.9,pre
146,ctrl,sca,m,1,2,127.3,pre
146,ctrl,sca,m,1,3,116.7,pre
146,ctrl,sca,m,1,4,29.8,pre
146,ctrl,sca,m,2,1,69.6,pre
146,ctrl,sca,m,2,2,106,pre
146,ctrl,sca,m,2,3,75.6,pre
146,ctrl,sca,m,2,4,66.2,pre
146,ctrl,sca,m,3,1,80.8,pre
146,ctrl,sca,m,3,2,45.2,pre
146,ctrl,sca,m,3,3,56.5,pre
146,ctrl,sca,m,3,4,108.8,pre
148,eda,wt,f,1,1,45.2,pre
148,eda,wt,f,1,2,137.5,pre
148,eda,wt,f,1,3,112.6,pre
148,eda,wt,f,1,4,170.9,pre
148,eda,wt,f,2,1,180.7,pre
148,eda,wt,f,2,2,142.6,pre
148,eda,wt,f,2,3,194.1,pre
148,eda,wt,f,2,4,160.9,pre
148,eda,wt,f,3,1,173.2,pre
148,eda,wt,f,3,2,154.6,pre
148,eda,wt,f,3,3,157.4,pre
148,eda,wt,f,3,4,90.8,pre
149,ctrl,wt,f,1,1,35.4,pre
149,ctrl,wt,f,1,2,97.9,pre
149,ctrl,wt,f,1,3,160.8,pre
149,ctrl,wt,f,1,4,157.5,pre
149,ctrl,wt,f,2,1,143.4,pre
149,ctrl,wt,f,2,2,204.2,pre
149,ctrl,wt,f,2,3,149.5,pre
149,ctrl,wt,f,2,4,184,pre
149,ctrl,wt,f,3,1,172.4,pre
149,ctrl,wt,f,3,2,143,pre
149,ctrl,wt,f,3,3,147.6,pre
149,ctrl,wt,f,3,4,147.9,pre
7,eda,wt,m,1,1,103.4,post
7,eda,wt,m,1,2,148.2,post
7,eda,wt,m,1,3,150.4,post
7,eda,wt,m,1,4,202.9,post
7,eda,wt,m,2,1,171.5,post
7,eda,wt,m,2,2,202.8,post
7,eda,wt,m,2,3,211.6,post
7,eda,wt,m,2,4,171.5,post
7,eda,wt,m,3,1,163.5,post
7,eda,wt,m,3,2,177.6,post
7,eda,wt,m,3,3,181,post
7,eda,wt,m,3,4,149.4,post
9,ctrl,wt,m,1,1,162.3,post
9,ctrl,wt,m,1,2,124.4,post
9,ctrl,wt,m,1,3,117.9,post
9,ctrl,wt,m,1,4,70.9,post
9,ctrl,wt,m,2,1,58.6,post
9,ctrl,wt,m,2,2,79.3,post
9,ctrl,wt,m,2,3,101.1,post
9,ctrl,wt,m,2,4,97.5,post
9,ctrl,wt,m,3,1,127,post
9,ctrl,wt,m,3,2,110,post
9,ctrl,wt,m,3,3,170,post
9,ctrl,wt,m,3,4,166.4,post
11,ctrl,wt,f,1,1,152.8,post
11,ctrl,wt,f,1,2,184.7,post
11,ctrl,wt,f,1,3,92.4,post
11,ctrl,wt,f,1,4,148,post
11,ctrl,wt,f,2,1,83.5,post
11,ctrl,wt,f,2,2,170.3,post
11,ctrl,wt,f,2,3,153.9,post
11,ctrl,wt,f,2,4,137.3,post
11,ctrl,wt,f,3,1,114.9,post
11,ctrl,wt,f,3,2,96.8,post
11,ctrl,wt,f,3,3,158.2,post
11,ctrl,wt,f,3,4,165.7,post
12,eda,wt,f,1,1,154.9,post
